plots,cfl_m2,classes
GC1,1.307701215,2
GC2,0.739687392,2
GC3,0.831225878,1
GC4,1.060215463,3
GC5,0.912510765,2
GC6,0.447582493,3
GC7,1.065921098,3
GC8,1.479420555,1
WC1,0.814728438,3
WC2,0.786273593,3
WC3,0.638360568,1
WC4,1.244030148,2
WC5,1.409164401,2
RM1,1.093389767,2
RM2,1.219121125,1
RM3,0.882482963,2
RM4,0.994785176,3
RM5,1.629915003,1
RM6,1.154628037,3
RM7,1.083364048,1
