"","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"1",30.5237,13.5495376462215,9.0304241586345,-0.21233957632538,1.73938583660763,NA,53.548195831782,80.2482284724087,0,0,0,2.22656,5.7333,8.09074,9.8558,11.4859,12.99851,14.6727,16.0426,17.5703,19.0878,20.5701,21.6817,22.5192,23.6014,24.6726,26.1958,4.2063623635785,10.003860158206,18.6648934947259,29.8911774208577,41.8740039521244,54.3966475917574,68.0093321442271,86.5152210031329,97.6605505142239
"2",27.9427,10.8775300812387,9.53076802540834,-0.0229092682289429,1.29327273420616,NA,53.5435127931367,62.7463893693356,0,0,0,0,0,0,0,3.66248,9.41167000000001,13.5283,15.45051,16.7982,17.8788,18.92224,19.9778,20.8078,21.6628,22.5748,23.7514,4.82158803709578,9.3951474247252,13.0156858181742,17.2410637121142,23.6484922813014,37.5095936226434,57.8542187751281,82.6221740489075,97.8787470696141
"3",28.2802,10.5684090227635,9.12939580988919,0.0697001924091272,1.41000406695247,NA,50.55211156613,66.340130563435,0,0,0,0,0,0,2.5901,5.6915,8.419045,10.8389,13.186355,15.3707,17.1275,18.2636,19.324075,20.3831,21.3544,22.3249,23.791495,4.7022310792959,11.3469181523592,19.0591586030914,27.7690900674066,36.4601092957874,47.4244075106981,66.8107195682365,86.9824539614078,98.383568371967
"4",27.2562,11.6204737243922,9.1385879534913,0.0586417888856644,1.36207447274956,0.905057550102648,49.1198856851356,79.1730432564664,0,0,0,1.8452,2.7017,3.5464,4.3607,5.5624,7.610735,11.14175,14.657965,17.1942,18.6375,19.8561,20.7837,21.6769,22.4993,23.3053,24.2709,10.9791170181052,28.2455296909167,35.8207154906958,40.0748540913861,45.1840249237932,49.9182360350767,60.587184166223,77.1184965769417,95.3288565623982
"5",27.2656,10.6432389767313,8.65943816833209,0.192675528166102,1.57712684017549,NA,46.4340102696952,75.6613776194662,0,0,0,0,2.2295,3.59912,4.9365,6.20766,7.71986,9.2256,11.40616,13.76154,15.95316,17.47508,18.8631,20.2538,21.6168,22.8183,23.92408,6.73289105240723,20.1433291648709,31.9586827658808,41.5461462918348,48.6695068732528,57.107934915465,69.0554075790654,81.9668077349706,96.0140550189936
"6",28.2386,6.32714947055014,8.44579388564546,0.940655907234615,2.36142356229761,NA,36.8330945645764,43.222658641046,0,0,0,0,0,0,0,0,0,0,1.25466000000001,3.59724000000001,7.56618000000002,10.5034,13.2788,16.006,18.2653,20.1501,23.1318,8.91242365874766,17.2944927405148,26.1943770081013,37.129548355798,48.5784236135236,60.6672189480479,76.3061009277094,87.4628700405166,96.6972065936641
"7",30.8719,13.9340238134817,10.282314469326,-0.305295052215304,1.46128661965238,NA,58.2999504841754,72.270579781907,0,0,0,0,0,2.9436,8.673905,13.02102,15.679,17.6679,18.9812,20.2717,21.2954,22.12211,22.9109,23.7869,24.741455,25.605,26.6246,5.61429248469815,9.62907503201541,12.7043188028758,17.8164483568785,24.8747113571508,36.2231650381664,55.5319851569511,79.3910266106019,97.291546924
"8",30.3752,10.6438135894374,6.45358897225977,0.0372794173950644,2.31862831640131,NA,52.9275792997734,87.3502167636853,0,0,2.5739,4.0248,5.8004,7.28562,8.5378,9.55386,10.36218,11.0557,11.74102,12.4173,13.0967,13.90628,14.818,15.99612,17.63458,19.51596,21.4909,7.7331425774632,17.393295935143,30.3567469430953,53.1920233926935,74.1264343293634,85.2519776280177,93.7834920873963,98.7559036013537,99.9431078983807
"9",38.0116,15.8578148391587,11.353010983802,0.00944061796580162,1.56566161692191,0.869328074785851,51.0243982688365,83.3604565817114,0,0,0,5.89708,6.0867,6.1725,6.3653,9.54466,13.246155,16.7075,19.806045,21.75114,23.1581,24.7119,26.3025,27.60962,28.8645,30.45101,32.584505,2.30403997080446,25.6866595935198,31.3314822757474,38.4694914106413,44.7454795819319,56.8208462192525,71.766104577229,88.0004815759573,97.5156700301738
"10",30.5914,13.0330463216574,8.88903379286401,-0.203126437945389,1.76283257526313,0.866967445097641,55.5921901124118,78.3462593771175,0,0,0,0,6.1882,6.4001,9.11415,11.4863,13.21455,14.8145,16.2579,17.2487,18.3325,19.4021,20.3855,21.3707,22.4068,23.6941,25.83655,1.53478069730479,4.29407189476176,17.9116364005275,26.7288897906733,38.7940888032194,55.8324033681648,74.9479219505597,90.0585032633323,97.0251259680092
"11",25.0412,5.59486542863704,7.71583574538598,0.960285578532666,2.37139569849186,0.586593328937588,36.5713564962597,40.0283310856045,0,0,0,0,0,0,0,0,0,0,0,2.0452,6.53770000000001,9.62890000000001,11.8039,13.8013,16.6944,19.0535,20.4491,2.25034825870647,8.37412935323383,16.5532338308458,27.4427860696517,43.5757213930348,56.5548258706468,66.6212935323383,84.3359203980099,94.3570149253731
