plots,CWD_plot,classes
GC1,5.667659018,2
GC2,25.81408866,2
GC3,24.32211164,1
GC4,62.72320306,3
GC5,6.686489629,2
GC6,5.100786615,3
GC7,9.39965835,3
GC8,0.404597518,1
RM1,4.94449426,2
RM2,22.70776093,1
RM3,2.157875426,2
RM4,21.22868219,3
RM5,5.720493581,1
RM6,107.8112334,3
RM7,1.998761121,1
WC1,24.23896963,3
WC2,5.737197338,3
WC3,6.829529054,1
WC4,162.2973583,2
WC5,13.18054693,2
